City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Humaita,BR,76.95,clear sky,-7.5061,-63.0208,Corrêa Hotel
5,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
6,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
11,Faanui,PF,79.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Ganzhou,CN,78.85,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
21,Kavieng,PG,83.44,light rain,-2.5744,150.7967,Nusa Island Retreat
22,Hithadhoo,MV,81.79,scattered clouds,-0.6,73.0833,Scoop Guest House
23,Rikitea,PF,75.13,clear sky,-23.1203,-134.9692,People ThankYou
26,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
28,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
29,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
31,Sorong,ID,83.32,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
33,Valdosta,US,84.97,overcast clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
35,Victoria,HK,88.18,moderate rain,22.2855,114.1577,Mini Central
50,San Policarpo,PH,85.32,overcast clouds,12.1791,125.5072,Agapita M. Nicart
76,Kavaratti,IN,81.97,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
79,Half Moon Bay,US,77.02,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
80,Katsuura,JP,75.97,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
83,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
84,Cody,US,80.04,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
87,Vostok,RU,75.4,overcast clouds,46.4856,135.8833,
89,Ca Mau,VN,87.1,few clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
92,Namatanai,PG,85.12,light rain,-3.6667,152.4333,Seagulls Inn Namatani
101,Samarai,PG,83.7,scattered clouds,-10.6167,150.6667,Nuli Sapi
103,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Bula,PH,85.19,light rain,13.4701,123.278,ZONE 2 CASUGAD BULA CAM SUR
111,Bubaque,GW,79.75,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
112,Balabac,PH,81.93,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
117,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
118,Nouakchott,MR,75.13,few clouds,18.0858,-15.9785,HOTEL IMAN
123,Moirang,IN,80.65,overcast clouds,24.5,93.7667,"Lake View Hotel, Moirang"
126,Morehead,US,82.15,mist,37.2711,-87.1764,CCI Express Inn
133,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
135,Nizwa,OM,89.67,overcast clouds,22.9333,57.5333,Orient Apartments
140,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
149,Lixourion,GR,79.61,clear sky,38.2019,20.4314,Hotel Summery
152,Itoman,JP,88.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
153,Campo Maior,BR,77.9,overcast clouds,-4.8278,-42.1686,Elite Hotel
156,Lorengau,PG,85.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
159,Labuhan,ID,85.5,broken clouds,-6.8844,112.2051,DoubleFAG
162,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
164,Lincoln,US,89.51,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
165,Hobyo,SO,75.58,clear sky,5.3505,48.5268,Iftin hotel hobyo
167,Poum,NC,77.45,broken clouds,-20.2333,164.0167,
170,Kudahuvadhoo,MV,82.96,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
172,Dhamrai,BD,84.18,light rain,23.9202,90.2109,Dhamrai to Kalampur Auto Station
176,Koulikoro,ML,77.47,light rain,14.0,-7.75,
179,Marzuq,YE,78.31,overcast clouds,14.4,46.4667,
180,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
185,Benicarlo,ES,75.9,broken clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
187,Pringsewu,ID,85.89,scattered clouds,-5.3582,104.9744,Urban Style by Front One
192,Aden,YE,84.99,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
193,Furukawa,JP,78.55,overcast clouds,38.5717,140.9556,Value the Hotel Furukawa Sanbongi
206,Ternate,ID,81.77,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
209,Goderich,CA,75.52,overcast clouds,43.7501,-81.7165,Harmony Inn
210,Manga,BF,77.67,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
211,Tautira,PF,77.83,light rain,-17.7333,-149.15,Pension Oaoa
213,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
218,Farah,AF,78.06,few clouds,32.5,62.5,
219,Sakaiminato,JP,89.58,broken clouds,35.55,133.2333,Italian pasley
220,Tondi,IN,82.44,overcast clouds,9.7333,79.0167,Star Lodge
221,Bluefields,NI,76.87,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
222,Laguna,US,84.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
224,Cockburn Town,TC,81.55,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
228,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
231,Balad,IQ,89.26,clear sky,34.0164,44.1453,رضاوي زنوبة
238,Rongcheng,CN,84.22,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
241,Seminole,US,84.56,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
248,Erenhot,CN,82.0,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
249,Boyolangu,ID,84.09,broken clouds,-8.1181,111.8935,Yos ega cv
252,Bengkulu,ID,83.43,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
259,Gambissara,SN,75.9,light rain,13.2382,-14.3108,
260,San Leandro,US,77.16,scattered clouds,37.7249,-122.1561,Best Western Plus Airport Inn & Suites
263,Dwarka,IN,85.15,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
265,Champerico,GT,81.3,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
266,Hermiston,US,83.05,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
268,Luwuk,ID,79.57,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
271,Simpang,ID,83.37,overcast clouds,-1.2667,104.0833,
273,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
274,Minuri,PH,87.1,moderate rain,16.535,121.8574,
279,Sur,OM,86.76,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
280,Arlit,NE,88.23,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
284,Biltine,TD,84.76,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
287,Pochutla,MX,80.42,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
292,Athmallik,IN,82.67,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
294,Kualakapuas,ID,88.99,scattered clouds,-3.0091,114.3876,Guest House Izonk
298,San Benito Abad,CO,76.14,overcast clouds,8.929,-75.0271,"Tu casa en la villa "" Dónde la seño Cristina"""
299,Tura,IN,84.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
300,Batagay,RU,80.01,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
304,Bandarbeyla,SO,79.41,scattered clouds,9.4942,50.8122,JABIR HOTEL
307,Sinnamary,GF,77.07,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
310,Deputatskiy,RU,75.54,broken clouds,69.3,139.9,Baza Otdykha
311,Freeport,US,78.78,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
313,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
314,Shahe,CN,80.01,broken clouds,39.2708,113.5478,五台山宾馆
317,Shima,CN,84.22,light rain,24.4478,117.8111,龙海钻石大酒店
318,Kaitong,CN,80.91,overcast clouds,44.8135,123.15,Jinhe Fashion Hotel
321,Miami,US,84.22,scattered clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
329,Kampong Thum,KH,86.94,broken clouds,12.7111,104.8887,Sambor Village Hotel
330,Amuntai,ID,89.1,few clouds,-2.4177,115.2494,Hotel Balqis
331,Huanren,CN,86.34,few clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
335,Meulaboh,ID,77.09,light rain,4.1363,96.1285,Kost Pria
