City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,64.87,92,96,3.69,overcast clouds
1,Westport,US,41.1415,-73.3579,73.74,64,0,8.05,clear sky
2,Hay River,CA,60.8156,-115.7999,60.78,59,20,14.97,few clouds
3,Humaita,BR,-7.5061,-63.0208,76.95,67,8,2.8,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,71.55,91,54,7.0,broken clouds
5,Georgetown,MY,5.4112,100.3354,82.33,84,40,4.61,scattered clouds
6,Hilo,US,19.7297,-155.09,82.27,76,100,5.75,overcast clouds
7,Saldanha,ZA,-33.0117,17.9442,42.85,83,0,11.03,clear sky
8,Jamestown,US,42.097,-79.2353,73.04,69,0,5.75,clear sky
9,Saskylakh,RU,71.9167,114.0833,50.83,55,93,5.35,overcast clouds
10,Vaini,TO,-21.2,-175.2,77.16,83,40,11.5,scattered clouds
11,Faanui,PF,-16.4833,-151.75,79.34,72,37,8.21,scattered clouds
12,Aklavik,CA,68.2191,-135.0107,70.54,64,37,8.9,moderate rain
13,Bredasdorp,ZA,-34.5322,20.0403,46.6,89,0,2.21,clear sky
14,Ventanas,EC,-1.45,-79.4667,71.01,89,88,2.91,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,33.46,75,0,3.44,clear sky
16,Caravelas,BR,-17.7125,-39.2481,69.06,89,0,4.97,clear sky
17,Te Anau,NZ,-45.4167,167.7167,47.88,78,96,8.52,overcast clouds
18,Guerrero Negro,MX,27.9769,-114.0611,65.98,81,0,19.75,clear sky
19,Ganzhou,CN,28.8184,115.4327,78.85,94,100,7.74,overcast clouds
20,Lebu,CL,-37.6167,-73.65,50.67,80,100,19.66,moderate rain
21,Kavieng,PG,-2.5744,150.7967,83.44,78,100,12.82,light rain
22,Hithadhoo,MV,-0.6,73.0833,81.79,72,36,2.89,scattered clouds
23,Rikitea,PF,-23.1203,-134.9692,75.13,73,5,8.05,clear sky
24,Pontal Do Parana,BR,-25.6533,-48.5128,63.45,93,65,2.19,broken clouds
25,Pisco,PE,-13.7,-76.2167,62.65,77,75,3.44,broken clouds
26,San Patricio,US,28.017,-97.5169,85.89,79,0,14.25,clear sky
27,Kungurtug,RU,50.5994,97.5228,64.02,46,9,2.24,clear sky
28,Puerto Escondido,MX,15.85,-97.0667,83.23,61,40,5.75,scattered clouds
29,Atuona,PF,-9.8,-139.0333,78.03,72,6,23.55,clear sky
30,Leh,IN,34.1667,77.5833,68.59,42,86,4.21,overcast clouds
31,Sorong,ID,-0.8833,131.25,83.32,75,88,2.73,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,60.35,61,41,3.94,light rain
33,Valdosta,US,30.8327,-83.2785,84.97,73,100,0.0,overcast clouds
34,Altamont,US,42.2068,-121.7372,65.77,75,75,4.61,broken clouds
35,Victoria,HK,22.2855,114.1577,88.18,85,100,13.0,moderate rain
36,Mataura,NZ,-46.1927,168.8643,53.47,64,37,11.27,scattered clouds
37,Talnakh,RU,69.4865,88.3972,56.21,45,0,15.52,clear sky
38,Port Alfred,ZA,-33.5906,26.891,56.17,95,68,7.09,broken clouds
39,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,9.22,broken clouds
40,Dikson,RU,73.5069,80.5464,35.01,98,100,3.36,overcast clouds
41,Klaksvik,FO,62.2266,-6.589,47.32,77,99,19.22,overcast clouds
42,Barrow,US,71.2906,-156.7887,41.02,87,100,6.91,mist
43,Yerbogachen,RU,61.2767,108.0108,69.44,52,100,4.16,overcast clouds
44,Souillac,MU,-20.5167,57.5167,68.38,83,40,12.66,scattered clouds
45,Esperance,AU,-33.8667,121.9,61.14,36,0,23.0,clear sky
46,Narsaq,GL,60.9167,-46.05,46.62,91,100,6.55,overcast clouds
